id,comment_mongodb_id,video_comment_id,reply_id,video_id,text,reply_posted_timestamp,reply_like_count,user_id,user_region,user_handle,user_avatar
1,6783c0c6cd22d1399897bc56,7451522439202980616,7451523262675862279,7449682653315337490,yes it's clearly jesus's birthday,2024-12-23 08:36:09,22,6961683300625581058,MY,youknowykkk,https://p16-sg.tiktokcdn.com/tos-alisg-avt-0068/31cb325351d1ad1686ad316c8248e540~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=44351&ps=87d6e48a&refresh_token=fcd30523daf6057f570cbdf83b5632d3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
2,6783c0c6cd22d1399897bc56,7451522439202980616,7452010651000980231,7449682653315337490,jesus pnye birthday 25 december ke??? 😌,2024-12-24 16:07:24,3,6865076011017700353,MY,saifulsadon,https://p16-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/895085227cba10332f4e8b1262701f0b~tplv-tiktokx-cropcenter-q:100:100:q75.jpeg?dr=10794&idc=maliva&nonce=66326&ps=87d6e48a&refresh_token=13a1404c0c59bea6e5e65eec0bf5dd14&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
3,6783c0c6cd22d1399897bc56,7451522439202980616,7452255638100280071,7449682653315337490,"the celebration,duh",2024-12-25 07:58:06,3,6961683300625581058,MY,youknowykkk,https://p16-sg.tiktokcdn.com/tos-alisg-avt-0068/31cb325351d1ad1686ad316c8248e540~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=44351&ps=87d6e48a&refresh_token=fcd30523daf6057f570cbdf83b5632d3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
4,6783c0c6cd22d1399897bc56,7451522439202980616,7455947091975160584,7449682653315337490,"25 bukan Jesus punya birthday, tu pagan celebration dari Roman, aiyoo haha",2025-01-04 06:42:52,1,7058791314217010177,MY,basch101,https://p16-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/1a4d156d28a408c67bb328b3f1dfc9c3~tplv-tiktokx-cropcenter-q:100:100:q75.jpeg?dr=10794&idc=maliva&nonce=39153&ps=87d6e48a&refresh_token=d7b1d353ca5a41477723500b3e3593a4&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
5,6783c0c6cd22d1399897bc56,7451522439202980616,7456007888419996434,7449682653315337490,it's written on my english dictionary 👍🏻,2025-01-04 10:38:41,0,6961683300625581058,MY,youknowykkk,https://p16-sg.tiktokcdn.com/tos-alisg-avt-0068/31cb325351d1ad1686ad316c8248e540~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=44351&ps=87d6e48a&refresh_token=fcd30523daf6057f570cbdf83b5632d3&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
6,6783c0c6cd22d1399897bc57,7449739996154381074,7452722452288832264,7449682653315337490,second is true,2024-12-26 14:09:30,5,6981615809501250587,MY,alifidlan7,https://p77-sg.tiktokcdn.com/tos-alisg-avt-0068/0eb1cfada7fbc0f7fc8d6ae949b71368~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=75141&ps=87d6e48a&refresh_token=5b0f56a87ad63fd6b7b241fcdf9b832f&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
7,6783c0c6cd22d1399897bc57,7449739996154381074,7452763983913943826,7449682653315337490,Thanks brother,2024-12-26 16:50:41,2,6607769986725511173,MY,rlx__07,https://p77-sg.tiktokcdn.com/tos-alisg-avt-0068/387967ce3116540dcab73c18ddddbd66~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=75014&ps=87d6e48a&refresh_token=1c8d2cbe60284775dcb5d098e0a8ca26&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
8,6783c0c6cd22d1399897bc57,7449739996154381074,7451264133407884050,7449682653315337490,Yg kedua itu guru dia terlbih pndai 😂,2024-12-22 15:50:34,1,6847836577076151298,MY,pandacute3596,https://p77-sg.tiktokcdn.com/tos-alisg-avt-0068/08e8087989469b5a07feba1ae6db28c7~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=73611&ps=87d6e48a&refresh_token=6fcfd385e70af67521b08422edc1ad21&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
9,6783c0c6cd22d1399897bc57,7449739996154381074,7452722565704778503,7449682653315337490,ak rasa ko yang Kene kaji lagi ni.mana boleh cakap atau wish,2024-12-26 14:09:57,1,6981615809501250587,MY,alifidlan7,https://p77-sg.tiktokcdn.com/tos-alisg-avt-0068/0eb1cfada7fbc0f7fc8d6ae949b71368~tplv-tiktokx-cropcenter-q:100:100:q80.jpeg?dr=10794&idc=maliva&nonce=75141&ps=87d6e48a&refresh_token=5b0f56a87ad63fd6b7b241fcdf9b832f&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
10,6783c0c6cd22d1399897bc57,7449739996154381074,7449793956927800081,7449682653315337490,boleh je...sbb belajar ngan org agama xabis belajar😅mcm tu la,2024-12-18 16:45:35,7,7216092924248982533,MY,ayahputra213,https://p77-va.tiktokcdn.com/tos-maliva-avt-0068/7216093598163402757~tplv-tiktokx-cropcenter-q:100:100:q75.jpeg?dr=10794&idc=maliva&nonce=47937&ps=87d6e48a&refresh_token=f2869af1770a232fa883e28575e430a6&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4
