_id,risk_status,justification,malay_justification
673310167674d968477b6544,,,
673310177674d968477b6549,,,
673310197674d968477b6550,,,
6733101b7674d968477b6559,Low,"['1. The content promotes unity and anti-racism, which is a positive message.', '2. The chanting of We are not racist in Malay emphasizes the message of inclusivity and acceptance.']","['1. Kandungan mempromosikan kesatuan dan anti-rasisme, yang merupakan mesej positif.', '2. Nyanyian Kita bukan rasis dalam bahasa Melayu menekankan mesej inklusif dan penerimaan.']"
673310207674d968477b6564,,,
673310237674d968477b656d,Medium,"['1. The content contains Racial Slurs, Mocking Behavior, Stereotyping, but the tone is more educational and emphasizes that stupidity is individual, not racial.', '2. The language used is not extremely derogatory, but rather used to illustrate a point.']","['1. Kandungan mengandungi kata-kata kesat, tetapi nada adalah lebih pendidikan dan menekankan bahawa kebodohan adalah individu, bukan racial.', '2. Bahasa yang digunakan tidak terlalu hina, tetapi digunakan untuk menggambarkan satu titik.']"
673310267674d968477b6589,,,
673310287674d968477b6592,,,
6733102e7674d968477b65a7,,,
673310327674d968477b65c3,Medium,"['1. The conversation starts with a preference but escalates into annoyance and verbal aggression.', '2. The person tells someone to shut up, indicating a level of hostility.', '3. The labeling of people as Type-C or Type-M can be seen as a form of stereotyping.']","['1. Perbualan bermula dengan pilihan tetapi meningkat menjadi kesal dan agresi verbal.', '2. Orang itu menyuruh seseorang diam, menunjukkan tahap kebencian.', '3. Pelabelan orang sebagai Jenis-C atau Jenis-M dapat dilihat sebagai bentuk stereotaip.']"
673310357674d968477b65d3,,,
6733103a7674d968477b65ea,,,
6733103f7674d968477b65f6,,,
673310417674d968477b65fd,,,
673310437674d968477b660e,,,
673310457674d968477b6613,,,
673310487674d968477b6626,,,
673310497674d968477b662b,,,
6733104b7674d968477b6632,,,
6733104d7674d968477b6638,Medium,"['1. The video features women wearing hijab, which may be perceived as perpetuating stereotypes about Muslim women.', '2. The presence of a knife in one of the scenes could be interpreted as a threat or violence against women.']","['1. Video menampilkan wanita memakai tudung, yang mungkin dilihat sebagai memperkukuhkan stereotaip tentang wanita Islam.', '2. Kehadiran pisau dalam salah satu adegan boleh ditafsirkan sebagai ancaman atau kekerasan terhadap wanita.']"
6733104f7674d968477b6640,,,
673310507674d968477b6648,,,
673310527674d968477b6652,,,
673310547674d968477b665c,,,
673310567674d968477b666b,,,
673310587674d968477b6674,,,
6733105a7674d968477b667a,,,
6733105b7674d968477b6681,,,
6733105d7674d968477b6686,Medium,"[""1. The content does not explicitly contain Islamophobic or racist language, but the repetition of scenes and the focus on the woman's attire may perpetuate stereotypes."", '2. The context is unclear, and the intentions behind the video are not explicitly stated.']","['1. Kandungan tidak mengandungi kata-kata Islamofobia atau rasis secara eksplisit, tetapi pengulangan adegan dan fokus pada pakaian wanita mungkin memperkuat stereotaip.', '2. Konteks tidak jelas, dan niat di sebalik video tidak dinyatakan secara eksplisit.']"
6733105f7674d968477b668d,,,
673310607674d968477b6691,,,
673310627674d968477b66a2,,,
673310637674d968477b66a6,,,
673310657674d968477b66b9,,,
673310677674d968477b66be,,,
673310697674d968477b66c5,,,
6733106b7674d968477b66cd,,,
6733106d7674d968477b66d3,,,
6733106e7674d968477b66da,,,
673310707674d968477b66e6,,,
673310737674d968477b66f2,,,
673310757674d968477b6707,Low,"['1. The content does not contain any Islamophobic, xenophobic, or culturally insensitive language or behavior.', '2. The woman is showcasing her different looks and accessories, including a hijab, in a neutral and respectful manner.']","['1. Kandungan tidak mengandungi bahasa atau tingkah laku yang Islamofobik, xenofobik, atau tidak sensitif terhadap budaya.', '2. Wanita tersebut mempamerkan pelbagai gaya dan aksesori, termasuk hijab, dengan cara yang neutral dan hormat.']"
673310787674d968477b6714,,,
6733107a7674d968477b671a,,,
6733107c7674d968477b6722,,,
6733107e7674d968477b6727,,,
673310807674d968477b6734,,,
673310817674d968477b6740,,,
673310837674d968477b675f,,,
673310857674d968477b676a,,,
673310877674d968477b6771,,,
6733108a7674d968477b6787,,,
6733108d7674d968477b6793,,,
673310917674d968477b67a3,,,
673310947674d968477b67bb,,,
673310987674d968477b67c5,,,
67355b8c7674d968477cf9ec,,,
67355b8e7674d968477cf9f2,,,
67355b917674d968477cfa07,,,
67355b967674d968477cfa36,,,
67355b9e7674d968477cfa57,,,
67355ba47674d968477cfa62,,,
67355bab7674d968477cfa84,,,
67355bb47674d968477cfa95,,,
67355bb77674d968477cfa9d,,,
67355bba7674d968477cfaac,,,
67355bbd7674d968477cfabf,Medium,"['1. The content contains Verbal Aggression, indicating a potential for conflict escalation.', '2. The public confrontation may cause emotional distress to those involved or witnessing the incident.']","['1. Kandungan mengandungi Agresi Verbal, menunjukkan potensi eskalasi konflik.', '2. Konfrontasi awam mungkin menyebabkan tekanan emosi kepada mereka yang terlibat atau menyaksikan insiden tersebut.']"
67355bc07674d968477cfac5,,,
67355bc57674d968477cfad2,,,
67355bcb7674d968477cfaec,,,
67355bd17674d968477cfb04,,,
6735b7977674d968477dd117,,,
6735b79a7674d968477dd151,,,
6735b79e7674d968477dd163,,,
6735b7a37674d968477dd178,,,
6735b7a87674d968477dd18c,,,
6735b7ac7674d968477dd196,,,
6735b7ad7674d968477dd19c,,,
6735b7af7674d968477dd1a4,,,
6735b7b17674d968477dd1ac,,,
6735b7b37674d968477dd1c1,,,
6735b7b67674d968477dd1cb,,,
6735b7b97674d968477dd1d3,,,
6735b7bb7674d968477dd1d9,,,
6735b7bd7674d968477dd1e1,,,
6735b7bf7674d968477dd1eb,,,
6735b7c27674d968477dd1f6,,,
6735b7c47674d968477dd209,,,
6735b7c77674d968477dd212,,,
6735b7ca7674d968477dd21a,,,
6735b7ce7674d968477dd227,,,
6735b7d17674d968477dd236,,,
6735b7d57674d968477dd253,,,
